,Num,thre,Opt_p_cl(N_est),Opt_p_cl(Max_f),MCC(cl),Error(cl),Accur(cl),Opt_p_reg(N_est),Opt_p_reg(Max_f),MCC(reg.),Error(reg),Accur(reg)
65,6.0,5.5,500.0,512.0,0.7967235834734215,0.09814814814814814,0.9018518518518519,500.0,512.0,0.7749492876597877,0.11018518518518516,0.8898148148148148
66,7.0,5.5,101.0,512.0,0.6862492435913895,0.1583333333333333,0.8416666666666666,500.0,512.0,0.6492084176603938,0.17685185185185187,0.8231481481481481
67,8.0,5.5,300.0,32.0,0.7895859104517211,0.10370370370370371,0.8962962962962961,300.0,512.0,0.7351061360793878,0.13333333333333336,0.8666666666666666
68,9.0,5.5,500.0,32.0,0.8111195210452349,0.09166666666666665,0.9083333333333332,101.0,32.0,0.7552507856319046,0.11851851851851851,0.8814814814814815
69,10.0,5.5,300.0,512.0,0.7745262029487765,0.11018518518518519,0.8898148148148148,300.0,32.0,0.7551840043059268,0.11851851851851851,0.8814814814814815
70,11.0,5.5,300.0,512.0,0.7646776136595841,0.11481481481481481,0.8851851851851853,500.0,512.0,0.727719876534233,0.13425925925925927,0.8657407407407407
71,12.0,5.5,300.0,768.0,0.7506437164806681,0.125,0.875,500.0,512.0,0.7274856758887085,0.13703703703703704,0.8629629629629629
72,13.0,5.5,300.0,32.0,0.737334749413902,0.1277777777777778,0.8722222222222221,300.0,256.0,0.7362833258428817,0.12962962962962962,0.8703703703703705
73,14.0,5.5,500.0,32.0,0.7737949072122589,0.10740740740740742,0.8925925925925926,300.0,512.0,0.7762288447755538,0.11296296296296297,0.8870370370370371
74,15.0,5.5,500.0,512.0,0.790555498827558,0.10555555555555556,0.8944444444444445,300.0,256.0,0.7226732897348405,0.1388888888888889,0.861111111111111
75,16.0,5.5,500.0,512.0,0.8128050567554249,0.09259259259259259,0.9074074074074074,300.0,512.0,0.763292412039727,0.11851851851851851,0.8814814814814815
76,17.0,5.5,300.0,512.0,0.7693820181710531,0.11481481481481481,0.8851851851851853,101.0,256.0,0.7445568922657989,0.12685185185185183,0.8731481481481481
77,18.0,5.5,500.0,32.0,0.6995684802921145,0.14722222222222223,0.8527777777777776,500.0,512.0,0.6405337528135909,0.18055555555555552,0.8194444444444443
78,19.0,5.5,300.0,32.0,0.7686775260326831,0.11203703703703702,0.887962962962963,101.0,512.0,0.7230243771991545,0.13611111111111113,0.8638888888888889
79,20.0,5.5,101.0,512.0,0.8018540749559797,0.09907407407407406,0.9009259259259259,500.0,32.0,0.7682429351887695,0.11203703703703702,0.887962962962963
80,21.0,5.5,300.0,768.0,0.7719209841329528,0.11388888888888889,0.8861111111111111,500.0,768.0,0.7518265782200014,0.12407407407407407,0.875925925925926
81,22.0,5.5,500.0,32.0,0.7582374545183226,0.11666666666666665,0.8833333333333334,500.0,512.0,0.7290727482066206,0.1351851851851852,0.8648148148148149
82,23.0,5.5,500.0,32.0,0.778137833437859,0.10925925925925925,0.8907407407407408,500.0,512.0,0.6999554892721819,0.15462962962962964,0.8453703703703704
83,24.0,5.5,500.0,256.0,0.8182668215588963,0.09074074074074075,0.9092592592592593,300.0,512.0,0.7755431503068413,0.11388888888888889,0.8861111111111111
84,25.0,5.5,101.0,512.0,0.7520977936781128,0.12592592592592594,0.874074074074074,500.0,512.0,0.7247370052669526,0.1388888888888889,0.861111111111111
85,26.0,5.5,300.0,512.0,0.7489323110743396,0.12685185185185185,0.8731481481481481,500.0,32.0,0.6884739722122506,0.1537037037037037,0.8462962962962962
86,27.0,5.5,500.0,512.0,0.8545187551696669,0.07407407407407407,0.9259259259259259,300.0,256.0,0.8058062999918121,0.09722222222222222,0.9027777777777779
87,28.0,5.5,300.0,256.0,0.753972103324187,0.12129629629629628,0.8787037037037038,500.0,768.0,0.7131960999670695,0.14259259259259258,0.8574074074074074
88,29.0,5.5,500.0,32.0,0.5893620578227213,0.20370370370370372,0.7962962962962963,101.0,256.0,0.6426441173416854,0.18518518518518517,0.8148148148148147
89,30.0,5.5,101.0,32.0,0.7508597049729167,0.12407407407407409,0.875925925925926,500.0,512.0,0.7213564568791787,0.14629629629629629,0.8537037037037039
