smiles,chembl_id,potency,pec50,category
CC(C)(O)c1cn(c2ccc(cc2F)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4c(F)cccc4Cl,CHEMBL3917300,20.6666666666667,8.02872871587209,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(CCNS(=O)(=O)c4ccccc4)cc3,CHEMBL391853,120,6.92081875395238,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(NS(=O)(=O)c4ccccc4)cc3,CHEMBL391854,1320,5.87942606879415,inactive
CC(C)(O)c1cn(c2ccc(cc2F)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4ccccc4Cl,CHEMBL3926292,32.6666666666667,7.77908072277281,active
O=C(c1ccccc1)n2c(cc3ccccc23)c4ccc(CCC#N)cc4,CHEMBL392996,27,7.64878473177724,active
CC(C)[C@H]1N(Cc2cn(nc12)c3cccc(c3)S(=O)(=O)C)c4ncc(CO)c(n4)C(F)(F)F,CHEMBL3932169,46,7.33724216831843,active
CC(C)[C@H]1N(Cc2cn(nc12)c3cccc(c3)S(=O)(=O)C)c4ccnc(n4)C(F)(F)F,CHEMBL3933543,109,6.96257350205938,active
CC(C)(O)c1cn(c2ccc(cc2)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4c(Cl)cccc4Cl,CHEMBL3935187,20,7.90784606527559,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(CCC(=O)N)cc3,CHEMBL393966,171,6.8946401421595,active
CC(C)CNC(=O)CCc1ccc(cc1)c2cc3ccccc3n2C(=O)OC(C)(C)C,CHEMBL393967,1510,5.82102305270683,inactive
COc1cc(ccn1)N2Cc3cn(nc3[C@H]2C(C)(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3940521,38,7.42021640338319,active
CC(C)(O)c1cn(c2ccc(cc2)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4ccccc4F,CHEMBL3941775,71.6666666666667,7.36107677190562,active
CC(C)(O)c1cn(c2ccc(cc2)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4ccccc4Cl,CHEMBL3944154,45.6666666666667,7.49456755363477,active
CC(C)(O)c1cn(c2ccc(cc2F)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4c(Cl)cccc4Cl,CHEMBL3945199,10.9,8.22184874961636,active
CC(c1c(Cl)cccc1Cl)c2nc(cn2c3ccc(cc3F)c4cc(F)c(CO)c(c4)S(=O)(=O)C)C(C)(C)O,CHEMBL3945820,16.6666666666667,7.9797673865488,active
CC(C)(O)c1cn(c2ccc(cc2)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4cccc(F)c4Cl,CHEMBL3953927,52,7.45292130809867,active
COc1cccc(C2SC(=NN2C(=O)c3cc(F)ccc3C)c4ccc(F)cc4)c1OC,CHEMBL395491,140,6.85387196432176,active
COc1nc(C)cc(n1)N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3956923,16,7.79588001734408,active
CC(C)[C@H]1N(Cc2cn(nc12)c3cccc(c3)S(=O)(=O)C)c4nccc(n4)C(F)(F)F,CHEMBL3959681,28,7.55284196865778,active
CC(C)[C@H]1N(Cc2cn(nc12)c3cccc(c3)S(=O)(=O)C)c4cc(ncn4)C(F)(F)F,CHEMBL3960195,35,7.45593195564972,active
CC(O)c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2,CHEMBL396041,31622.78,4.4999999533289,inactive
CC(C)(O)c1cn(c(Cc2ccccc2Cl)n1)c3ccc(cc3)c4ccc(CO)c(c4)S(=O)(=O)C,CHEMBL3960606,123,7.26349499515246,active
CC(O)c1ccc(cc1S(=O)(=O)C)c2ccc(cc2)n3cc(nc3C(C)(C)c4ccccc4Cl)C(C)(C)O,CHEMBL3963566,370.333333333333,6.79861292394175,active
OC(C1CCCCC1)(c2ccc(cc2)N(CC(F)(F)F)S(=O)(=O)c3ccccc3)C(F)(F)F,CHEMBL396952,31622.78,4.4999999533289,inactive
OC(C#Cc1ccccc1)(c2ccc(cc2)N(CC(F)(F)F)S(=O)(=O)c3ccccc3)C(F)(F)F,CHEMBL396953,31622.78,4.4999999533289,inactive
COc1ncc(F)c(n1)N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3972392,15,7.82390874094432,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(CCC#N)cc3,CHEMBL397564,353,6.56281708213498,active
COc1cc(cc(C)n1)N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3976470,22,7.65757731917779,active
COc1cccc(C2SC(=NN2C(=O)c3cc(F)c(F)cc3F)c4ccc(F)cc4)c1OC,CHEMBL397656,600,6.22184874961636,active
CC(C)[C@H]1N(Cc2cn(nc12)c3ccc(CO)c(c3)S(=O)(=O)C)c4ncc(CO)c(n4)C(F)(F)F,CHEMBL3978980,36,7.44369749923271,active
CC(C)(O)c1cn(c(Cc2c(Cl)cccc2Cl)n1)c3ccc(cc3)c4cc(F)c(CO)c(c4)S(=O)(=O)C,CHEMBL3980683,62.3333333333333,7.51055088986261,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(CCNS(=O)(=O)c4cccs4)cc3,CHEMBL398381,58,7.23657200643706,active
CCS(=O)(=O)NC1Cc2ccc(cc2C1)c3cc4ccccc4n3C(=O)OC(C)(C)C,CHEMBL398554,400,6.39794000867204,active
CC(C)[C@H]1N(Cc2cn(nc12)c3cccc(c3)S(=O)(=O)C)c4cc(nc(C)n4)C(F)(F)F,CHEMBL3985591,18,7.74472749489669,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccc(F)cc5,CHEMBL398680,290,6.62903046113541,active
CC(C)(C)COC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5,CHEMBL399065,1400,5.85387196432176,inactive
