,threshold,N_Split,Split,Accuracy,Sensitiv.,Specif.,MCC,Positive pred,Negative pred,False positive,False negative
23,5.5,10.0,3.0,0.8425925925925926,0.0,0.900990099009901,-0.08409599149190805,0.0,0.9285714285714286,0.09900990099009901,1.0
24,5.5,10.0,4.0,0.8240740740740741,0.8450704225352113,0.7837837837837838,0.6180100741727732,0.8823529411764706,0.725,0.21621621621621623,0.15492957746478872
25,5.5,10.0,5.0,0.7129629629629629,0.7777777777777778,0.6805555555555556,0.4327892114505485,0.5490196078431373,0.8596491228070176,0.3194444444444444,0.2222222222222222
26,5.5,10.0,6.0,0.8611111111111112,0.890625,0.8181818181818182,0.7114646157721781,0.8769230769230769,0.8372093023255814,0.18181818181818182,0.109375
27,5.5,10.0,7.0,0.8333333333333334,0.925,0.5714285714285714,0.540157253074443,0.8604651162790697,0.7272727272727273,0.42857142857142855,0.075
28,5.5,10.0,8.0,0.6203703703703703,0.8490566037735849,0.4,0.27797735130302537,0.5769230769230769,0.7333333333333333,0.6,0.1509433962264151
29,5.5,10.0,9.0,0.75,0.8169014084507042,0.6216216216216216,0.4414738095024316,0.8055555555555556,0.6388888888888888,0.3783783783783784,0.18309859154929578
30,6.0,5.0,0.0,0.9537037037037037,0.9230769230769231,0.9556650246305419,0.7054302849114396,0.5714285714285714,0.9948717948717949,0.04433497536945813,0.07692307692307693
31,6.0,5.0,1.0,0.9537037037037037,,0.9537037037037037,,0.0,1.0,0.046296296296296294,
32,6.0,5.0,2.0,0.6018518518518519,1.0,0.5865384615384616,0.22342373853161518,0.0851063829787234,1.0,0.41346153846153844,0.0
33,6.0,5.0,3.0,0.5648148148148148,0.75,0.553921568627451,0.13961697822442393,0.09,0.9741379310344828,0.44607843137254904,0.25
34,6.0,5.0,4.0,0.5462962962962963,0.625,0.5238095238095238,0.12375327795836297,0.2727272727272727,0.8301886792452831,0.47619047619047616,0.375
35,6.0,10.0,0.0,0.8518518518518519,0.8571428571428571,0.8514851485148515,0.4408174168329928,0.2857142857142857,0.9885057471264368,0.1485148514851485,0.14285714285714285
36,6.0,10.0,1.0,1.0,-,-,-,-,-,-,-
37,6.0,10.0,2.0,1.0,-,-,-,-,-,-,-
38,6.0,10.0,3.0,0.9074074074074074,,0.9074074074074074,,0.0,1.0,0.09259259259259259,
39,6.0,10.0,4.0,0.5555555555555556,1.0,0.5247524752475248,0.258431187490726,0.12727272727272726,1.0,0.4752475247524752,0.0
40,6.0,10.0,5.0,0.6388888888888888,0.5,0.6415094339622641,0.039718832597415245,0.02564102564102564,0.9855072463768116,0.3584905660377358,0.5
41,6.0,10.0,6.0,0.7407407407407407,0.8571428571428571,0.7326732673267327,0.3152381327904024,0.18181818181818182,0.9866666666666667,0.26732673267326734,0.14285714285714285
42,6.0,10.0,7.0,0.49074074074074076,0.8333333333333334,0.4222222222222222,0.19625173465829238,0.22388059701492538,0.926829268292683,0.5777777777777777,0.16666666666666666
43,6.0,10.0,8.0,0.5740740740740741,0.9473684210526315,0.4943820224719101,0.34117112408997297,0.2857142857142857,0.9777777777777777,0.5056179775280899,0.05263157894736842
44,6.0,10.0,9.0,0.7037037037037037,0.6744186046511628,0.7230769230769231,0.39247256743143677,0.6170212765957447,0.7704918032786885,0.27692307692307694,0.32558139534883723
45,6.5,5.0,0.0,0.9305555555555556,,0.9305555555555556,,0.0,1.0,0.06944444444444445,
46,6.5,5.0,1.0,0.9629629629629629,,0.9629629629629629,,0.0,1.0,0.037037037037037035,
47,6.5,5.0,2.0,0.7546296296296297,,0.7546296296296297,,0.0,1.0,0.24537037037037038,
48,6.5,5.0,3.0,0.7453703703703703,1.0,0.7380952380952381,0.26944300253657555,0.09836065573770492,1.0,0.2619047619047619,0.0
49,6.5,5.0,4.0,0.6712962962962963,1.0,0.6536585365853659,0.29611805289319393,0.13414634146341464,1.0,0.3463414634146341,0.0
50,6.5,10.0,0.0,0.8611111111111112,,0.8611111111111112,,0.0,1.0,0.1388888888888889,
51,6.5,10.0,1.0,1.0,-,-,-,-,-,-,-
52,6.5,10.0,2.0,1.0,-,-,-,-,-,-,-
53,6.5,10.0,3.0,0.9259259259259259,,0.9259259259259259,,0.0,1.0,0.07407407407407407,
54,6.5,10.0,4.0,0.6388888888888888,,0.6388888888888888,,0.0,1.0,0.3611111111111111,
55,6.5,10.0,5.0,0.8703703703703703,,0.8703703703703703,,0.0,1.0,0.12962962962962962,
56,6.5,10.0,6.0,0.8611111111111112,0.6,0.8737864077669902,0.2802414083243891,0.1875,0.9782608695652174,0.1262135922330097,0.4
57,6.5,10.0,7.0,0.6481481481481481,1.0,0.6237623762376238,0.31149591164298934,0.15555555555555556,1.0,0.37623762376237624,0.0
58,6.5,10.0,8.0,0.6203703703703703,0.8,0.6020408163265306,0.2350549154254427,0.1702127659574468,0.9672131147540983,0.3979591836734694,0.2
59,6.5,10.0,9.0,0.6759259259259259,0.5,0.6792452830188679,0.05163215049428195,0.02857142857142857,0.9863013698630136,0.32075471698113206,0.5
60,7.0,5.0,0.0,0.9537037037037037,,0.9537037037037037,,0.0,1.0,0.046296296296296294,
61,7.0,5.0,1.0,0.9814814814814815,,0.9814814814814815,,0.0,1.0,0.018518518518518517,
62,7.0,5.0,2.0,0.8842592592592593,,0.8842592592592593,,0.0,1.0,0.11574074074074074,
63,7.0,5.0,3.0,0.8379629629629629,0.8181818181818182,0.8390243902439024,0.36506959262007926,0.21428571428571427,0.9885057471264368,0.16097560975609757,0.18181818181818182
64,7.0,5.0,4.0,0.8194444444444444,1.0,0.8151658767772512,0.30435585421906197,0.11363636363636363,1.0,0.1848341232227488,0.0
65,7.0,10.0,0.0,0.9074074074074074,,0.9074074074074074,,0.0,1.0,0.09259259259259259,
66,7.0,10.0,1.0,1.0,-,-,-,-,-,-,-
67,7.0,10.0,2.0,1.0,-,-,-,-,-,-,-
68,7.0,10.0,3.0,0.9629629629629629,,0.9629629629629629,,0.0,1.0,0.037037037037037035,
69,7.0,10.0,4.0,0.8240740740740741,,0.8240740740740741,,0.0,1.0,0.17592592592592593,
70,7.0,10.0,5.0,0.9444444444444444,,0.9444444444444444,,0.0,1.0,0.05555555555555555,
71,7.0,10.0,6.0,0.8981481481481481,,0.8981481481481481,,0.0,1.0,0.10185185185185185,
72,7.0,10.0,7.0,0.7870370370370371,0.9,0.7755102040816326,0.4328313827668359,0.2903225806451613,0.987012987012987,0.22448979591836735,0.1
73,7.0,10.0,8.0,0.8333333333333334,0.7777777777777778,0.8383838383838383,0.4159681814955806,0.30434782608695654,0.9764705882352941,0.16161616161616163,0.2222222222222222
74,7.0,10.0,9.0,0.8055555555555556,,0.8055555555555556,,0.0,1.0,0.19444444444444445,
